序号,才能,成为长处,成为短处
1,用更有效的办法去实践,灵活改变做法,更有效地开展工作,没有变化就会感到厌烦
2,掌控全局的指挥官,能够举办大型活动,讨厌常规业务
3,组合高生产率团队,善于配置人才资源,让周围的人感觉混乱
4,改善,补充自身不足的技能和知识,勉强去改变无法改变的人时会感到疲倦
5,解决问题,察觉问题出现的根本原因并解决它,没有需要解决的问题时无所适从
6,找出问题,直面问题,过于消极
7,建立秩序,通过结构化提高效率,无法应对突发状况
8,按部就班,习惯做必要的事情,难以应对变化
9,制订计划,按照计划切实推进工作,计划打乱后感到焦虑
10,公平公正,平等对待每个人,不允许偏袒现象
11,遵守规则,根据规则正确行事,在没有规则的情况下陷入混乱
12,制定公平的规则,制定大家都能接受的规则,不允许例外
13,深思熟虑,能在仔细讨论后做出没有风险的决断,在没有判断标准时陷入烦恼
14,慎重制订计划,不犯错,工作速度慢
15,隐瞒自己的想法,引出他人的话题,需要花很长时间才能说出心里话
16,伦理观念强,为世界、人类而行动,对于不认可的工作提不起兴趣
17,有一贯性,组织的前进方向出现偏差时,调整回原来的方向,变得顽固
18,有献身精神,不为金钱所动,受人信赖,牺牲自己
19,有责任感,受到周围人的信赖,无法拒绝他人的请求
20,重视任务的分配,很好地完成被分配的任务,任务分配不明确时不知道该做什么
21,遵守约定,严格遵守与他人的约定,要求他人也要严格遵守约定
22,尽可能完成更多的工作,不断地完成工作,因无法回顾过去的工作而常感到焦虑
23,尽可能更有效率地工作,不浪费时间,成为工作狂
24,有活力,活跃团队,因要求他人跟自己一样活力四射,而使他人感到疲惫
25,只做有利于实现目标的事,明确工作的先后顺序,认为做与实现目标不相关的事(人际交往、其他的娱乐活动等)是浪费时间的,因此完全不做
26,达到目标,朝着目标径直前进,没有目标就没有动力
27,发现通往目标的路线,对偏离路线的人进行修正,遗漏目标以外的发现
28,有行动力,一边实践一边学习,思考前就开始行动
29,尝试新的事物,不断尝试新事物,经历本不用经历的失败
30,鼓励他人,号召周围的人行动,因太过着急而使他人感到疲惫
31,有胜负心,有对手就会斗志昂扬,感觉赢不了的时候就会放弃
32,想得到可量化的评价,为了得到评价而做出成果,拘泥于数字而忽视目的
33,想成为第一,为战胜他人成为第一而竭尽全力,努力到最后,过于关注胜负而忽视目的
34,能说会道,善用比喻吸引听众的注意力,如果没有真才实学会让人觉得肤浅
35,语言有感染力,通过语言让他人行动起来,说话浮夸
36,有感染力,善于鼓舞他人,想要支配他人
37,不满于现状,精益求精,专注于细节而无法前进
38,有远大理想,决定理想后努力奋斗,与理想相距甚远时失去自信
39,喜欢发挥强项,通过强项取得很好的成绩,完全不做没有兴趣或不擅长的事
40,想成为重要的存在,在受到重视的环境里发挥作用,在不被重视的情况下失去动力
41,想得到他人的感谢,为得到他人的感谢而发挥作用,当感到不被认可时失去动力
42,想得到他人的关注,在被他人关注的地方发挥作用,过于强调自己,而不善于团队协作
43,有自信、能承担责任,带领团队,不依靠他人
44,相信自己的潜力,有挑战精神,被他人认为自以为是
